address;district;loop_location;building_type;greening_rate;price;year;has_subway;is_hutong
朝阳门外大街6号院;朝阳;未知;未知;42.7;67512;;0;0
怀柔商业街南侧，区第一医院东;未知;六环以外;板楼;30;22014;2000;0;0
朝阳太阳宫夏家坟村;朝阳;未知;其它;35;60453;2006;1;0
大兴兴政东里甲12号;大兴;未知;未知;30;23047;2001;0;0
科荟路51号院;朝阳;未知;未知;36;58441;;0;0
花虎沟9号院;朝阳;未知;未知;25;38671;;0;0
上林世家;朝阳;未知;未知;;66743;;0;0
西城北京市西城区西单东斜街;西城;二环以内;板楼;25;109732;2000;0;0
天坛东里南区;东城;未知;未知;33;41982;;0;0
崇文西草市东街甲34号院;崇文;二环以内;砖楼;37;51918;2001;0;0
磁器库南巷;东城;未知;未知;;77321;;0;0
东厂北巷3号院;东城;未知;未知;;60330;;0;0
海淀北京市海淀区西三环阜成路49号院;航天桥;三至四环;板楼;30;51572;;0;0
海淀北京市海淀区玉渊潭南路普惠北里19号（水利医院）;公主坟;三至四环;板楼;30;59897;;0;0
丰台紫芳路5号院;丰台;二至三环;塔楼;50;32975;2000;1;0
黄寺大街26号院;西城;未知;未知;30;73293;;0;0
海淀文慧园北路9号;小西天;二至三环;塔楼;40;54521;2001;0;0
乔建里;海淀;未知;未知;25;51271;;0;0
法华寺;海淀;未知;未知;0.25;54068;;0;0
崇文天坛安乐林二条（沙子口路东侧）;崇文;二至三环;板楼;45;36553;2000;0;0
知春路49号;海淀;未知;未知;30;42217;;0;0
天秀花园秋水园;海淀;未知;未知;0.3;65109;;0;0
嘉园二里;丰台;未知;未知;28;33511;;0;0
东城黄寺大街2号院;东城;二至三环;其它;25;54532;2002;0;0
朝阳西坝河太阳宫村7号;朝阳;三至四环;其它;28;46101;2002;1;0
海淀苏州街小区;苏州桥;三至四环;板楼;;46369;2000;0;0
宣武右安门内大街10号;白纸坊;二环以内;板楼;30;52357;;0;0
丰台洋桥往南150米路东;丰台;三至四环;板楼;32.89;37560;2000;0;0
门头沟圈门车站外南走30米;门头沟;未知;板楼;30;22070;;0;0
海淀北太平庄新街口外大街23号院;北太平庄;三至四环;板楼;18.5;58992;2001;0;0
朝阳双桥东路9号;管庄;五至六环;未知;70;39640;;0;0
金榜园;昌平;未知;未知;43;31568;;0;0
海淀海淀大街25号;中关村;三至四环;板楼;10;51334;2000;0;0
丰台丰台区西马场路6号院;丰台;三至四环;板楼;35;31000;2004;0;0
朝阳三里屯酒吧街东侧;三里屯;二至三环;板楼;40;48074;1965;0;0
蓝靛厂南路59号;海淀;未知;未知;45.2;59607;;0;0
朝阳东三环中路劲松桥东300米南磨房路;北工大;三至四环;其它;35;34737;1994;0;0
朝阳麦子店街38号;燕莎;三至四环;板楼;30;47041;1998;0;0
朝阳东三环北路30号团结湖公园南侧;团结湖;三至四环;塔楼;50;33554;2004;1;0
蒲黄榆三里;丰台;未知;未知;20;38469;;0;0
朝阳东三环中路39号;国贸;二至三环;塔楼;33;32962;2003;0;0
海淀林大北路6号院;学院路;四至五环;板楼;23;48171;2000;0;0
静安里;朝阳;未知;未知;30;39871;;0;0
海淀四季青桥南500米;四季青;四至五环;未知;33;58694;2004;0;0
车站路6号院;丰台;未知;未知;;32917;;0;0
鸭子桥26号院;西城;未知;未知;;38498;;0;0
莲花河东侧路1号院;丰台;未知;未知;50;43817;;0;0
朝阳北苑路地铁立水桥南站东侧800米;北苑;五至六环;塔楼;45;34558;2005;1;0
朝阳朝阳路南侧，大黄庄桥东南260米;定福庄;五至六环;其它;30;27829;1998;1;0
朝阳北苑路32号院;北苑;五至六环;其它;35;33925;2007;1;0
昌平立水桥东一路西侧，太平庄中二街北侧;天通苑;五至六环;其它;36;20651;2004;1;0
朝阳城铁八通线管庄车站西南角;双桥;五至六环;其它;30;24520;2002;1;0
通州梨园城铁站东，梨园北街以南;通州;五至六环;板楼;40;23214;2004;1;0
大兴黄村镇枣园路;大兴;五至六环;板楼;40;23973;1999;0;0
通州北京市通州区半壁店大街;通州;未知;板楼;31;28484;2000;0;0
东城美术馆东街25号;东城;二环以内;砖楼;30;72842;2000;1;0
韩庄子东里;丰台;未知;未知;;34077;;0;0
枫涟山庄;海淀;未知;未知;58;51737;;0;0
车公庄西路38号院4号楼;海淀;未知;未知;30;40547;;0;0
丰台马家堡路27号院;丰台;二至三环;其它;;37449;2000;1;0
丰台角门16号院;丰台;三至四环;其它;31.5;34422;1995;0;0
鸭子桥路;西城;未知;未知;31.2;40498;;0;0
同兴园;大兴;未知;未知;30;24300;;0;0
大兴黄村卫星城郁花园东区;大兴;五至六环;板楼;35;26936;1998;0;0
海淀西三旗桥西南角;西三旗;五至六环;其它;31;46353;2001;0;0
顺义顺义机场东路T3机场东;机场南楼;五至六环;其它;30;21763;2010;0;0
海淀小营东路10号院;清河;五至六环;其它;30;38018;2000;0;0
南郎家园;朝阳;未知;未知;0.3;40830;;0;0
门头沟滨河路133号;门头沟;六环以外;板楼;30.1;22144;2007;0;0
顺义卧龙环岛东北侧200米;顺义城;六环以外;板楼;20;21047;1995;0;0
石景山地铁苹果园站东侧;未知;五至六环;板楼;30;34086;;0;0
安苑里;朝阳;未知;未知;30;44879;;0;0
大屯里四区118号;朝阳;未知;未知;31;47778;;0;0
安慧北里逸园;朝阳;未知;未知;31;46077;;0;0
安慧北里秀园;朝阳;未知;未知;35;45232;;0;0
慧忠北里;朝阳;未知;未知;15;38464;;0;0
北辰东路8号院;朝阳;未知;未知;15;42569;;0;0
慧忠北里;朝阳;未知;未知;30;34716;;0;0
慧忠里;朝阳;未知;未知;30;47729;;0;0
安慧北里;朝阳;未知;未知;35;42637;;0;0
北苑路180号院;朝阳;未知;未知;33;29486;;0;0
安苑北里;朝阳;未知;未知;30;45863;;0;0
慧忠里;朝阳;未知;未知;34;47089;;0;0
安慧北里逸园;朝阳;未知;未知;35;39430;;0;0
科荟路8号;朝阳;未知;未知;35;43028;;0;0
安立路56号院;朝阳;未知;未知;35;39391;;0;0
慧忠北里;朝阳;未知;未知;35;35570;;0;0
东三环霞光里66号;朝阳;未知;未知;30;60374;;0;0
顺源里;朝阳;未知;未知;33;46597;;0;0
延静里中街;朝阳;未知;未知;30;37429;;0;0
东方东路;朝阳;未知;未知;30;50653;;0;0
霄云路甲32号;朝阳;未知;未知;30;37156;;0;0
亮马桥路36号;朝阳;未知;未知;0.4;57685;;0;0
亮马桥路32号;朝阳;未知;未知;20;30875;;0;0
新源里14号;朝阳;未知;未知;30;39784;;0;0
亮马桥路46号;朝阳;未知;未知;30;54516;;0;0
新源南路5号;朝阳;未知;未知;30;63448;;0;0
东三环北路戊2号;朝阳;未知;未知;35;40293;;0;0
新源里63号;朝阳;未知;未知;30;56540;;0;0
东三环霄云里8号;朝阳;未知;未知;30.8;32544;;0;0
三源里街;朝阳;未知;未知;35;39700;;0;0
麦子店西路9号;朝阳;未知;未知;25;60723;;0;0
霞光里66号院;朝阳;未知;未知;31.5;40645;;0;0
北四环鼎成路9号;朝阳;未知;未知;30;35936;;0;0
北苑路86号嘉铭园一区;朝阳;未知;未知;30;47742;;0;0
育慧西里;朝阳;未知;未知;30;42171;;0;0
小营路9号院;朝阳;未知;未知;53;33402;;0;0
育慧里一区;朝阳;未知;未知;23;40573;;0;0
北四环东路73号;朝阳;未知;未知;65;64211;;0;0
北苑路178号;朝阳;未知;未知;31.6;50440;;0;0
亚运村大屯路222号院;朝阳;未知;未知;30;44707;;0;0
育慧西里;朝阳;未知;未知;25;37621;;0;0
小营路12号院;朝阳;未知;未知;38;34155;;0;0
北苑路86号;朝阳;未知;未知;30;51364;;0;0
北四环东路万和桥西北桥;朝阳;未知;未知;;64835;;0;0
枣营北里;朝阳;未知;未知;30;42256;;0;0
北四环东路115号院;朝阳;未知;未知;35;41459;;0;0
大屯路220号;朝阳;未知;未知;40;50583;;0;0
北苑路甲166号;朝阳;未知;未知;37;34335;;0;0
小营北路23号院;朝阳;未知;未知;36.7;46963;;0;0
北苑路86号嘉铭园二区;朝阳;未知;未知;20;47084;;0;0
育慧里二区;朝阳;未知;未知;20;44522;;0;0
安慧东里;朝阳;未知;未知;30;38105;;0;0
康惠园3号院 2号院 1号院;朝阳;未知;未知;;21558;;0;0
小关东里10号院;朝阳;未知;未知;31;47463;;0;0
垂杨柳西里;朝阳;未知;未知;30;38174;;0;0
西大望路6号;朝阳;未知;未知;;60553;;0;0
惠新西街甲15号院;朝阳;未知;未知;30;43862;;0;0
延静里中街3号院;朝阳;未知;未知;30;39755;;0;0
呼家楼北里;朝阳;未知;未知;30;39770;;0;0
西城西城区西单民航大厦后;西城;二环以内;板楼;16;109910;1995;1;0
朝阳区朝阳路小庄6号;朝阳;未知;未知;30;44155;;0;0
呼家楼新苑;朝阳;未知;未知;20;46181;;0;0
红庙西里;朝阳;未知;未知;35.4;40220;;0;0
呼家楼西里;朝阳;未知;未知;20;45012;;0;0
西大望路;朝阳;未知;未知;20;36964;;0;0
柴家湾;朝阳;未知;未知;20;34104;;0;0
东四环中路39号;朝阳;未知;未知;50;30958;;0;0
惠新南里5号院;朝阳;未知;未知;40;46666;;0;0
双桥东路9号院西区;朝阳;未知;未知;40;24778;;0;0
金台北街;朝阳;未知;未知;40;40863;;0;0
延静西里;朝阳;未知;未知;33;39120;;0;0
延静里中街甲18号院;朝阳;未知;未知;50;53102;;0;0
禧瑞都;朝阳;未知;未知;31;56824;;0;0
红庙北里;朝阳;未知;未知;45;36838;;0;0
小关北里24号院;朝阳;未知;未知;31;43213;;0;0
金台里;朝阳;未知;未知;35;40422;;0;0
慈云寺;朝阳;未知;未知;33;35163;;0;0
安苑东里1区;朝阳;未知;未知;32.5;45063;;0;0
胜古馨园;朝阳;未知;未知;30;63761;;0;0
建国路89号;朝阳;未知;未知;31.2;54324;;0;0
小关东街;朝阳;未知;未知;30;43304;;0;0
小关东里8号院;朝阳;未知;未知;20;44135;;0;0
惠新北里;朝阳;未知;未知;20;43101;;0;0
惠新西街33号院;朝阳;未知;未知;40;44649;;0;0
小关北里45号院;朝阳;未知;未知;30;37767;;0;0
安苑路甲17号;朝阳;未知;未知;30;35023;;0;0
惠新西街;朝阳;未知;未知;10;44846;;0;0
惠新西街16号;朝阳;未知;未知;30;44950;;0;0
慈云寺1号院;朝阳;未知;未知;49.5;37878;;0;0
胜古家园;朝阳;未知;未知;20;43483;;0;0
惠新西街9号院;朝阳;未知;未知;42;40794;;0;0
北四环东路106号院;朝阳;未知;未知;30;43053;;0;0
胜古北里;朝阳;未知;未知;18;44575;;0;0
胜古南里;朝阳;未知;未知;30;45369;;0;0
惠新里;朝阳;未知;未知;33;46491;;0;0
北四环东路108号;朝阳;未知;未知;40;43318;;0;0
小关北里;朝阳;未知;未知;8;43257;;0;0
紫南家园;朝阳;未知;未知;33;35272;;0;0
将府家园北里;朝阳;未知;未知;0.4;42827;;0;0
芳园南里9号院;朝阳;未知;未知;33;38214;;0;0
将台路乙2号;朝阳;未知;未知;30;39743;;0;0
酒仙桥南路9号;朝阳;未知;未知;0.31;38635;;0;0
大山子南里;朝阳;未知;未知;41;34373;;0;0
南十里居10号院;朝阳;未知;未知;0.33;34996;;0;0
芳园里 ;朝阳;未知;未知;0.33;34370;;0;0
芳园南里9号院;朝阳;未知;未知;0.35;49204;;0;0
小营路9号院;朝阳;未知;未知;53;39256;;0;0
酒仙桥南十里居;朝阳;未知;未知;0.35;37206;;0;0
酒仙桥南十里居48号院;朝阳;未知;未知;36;45705;;0;0
酒仙桥三街坊;朝阳;未知;未知;20;30356;;0;0
将府家园北里;朝阳;未知;未知;31;25643;;0;0
万红西街9号院;朝阳;未知;未知;30;54783;;0;0
将府家园北里;朝阳;未知;未知;30;45078;;0;0
祁家豁子;朝阳;未知;未知;;50354;;0;0
芳园里;朝阳;未知;未知;30;35000;;0;0
高碑店都市经典家园;朝阳;未知;未知;0.33;35893;;0;0
劲松四区;朝阳;未知;未知;25;39334;;0;0
东四环北路10号;朝阳;未知;未知;34;41282;;0;0
广和南里二条16号院;朝阳;未知;未知;33;34373;;0;0
垂杨柳南里;朝阳;未知;未知;30;34255;;0;0
劲松一区;朝阳;未知;未知;40;35704;;0;0
劲松五区;朝阳;未知;未知;40;34524;;0;0
垂杨柳北里;朝阳;未知;未知;30;33538;;0;0
劲松二区229号楼;朝阳;未知;未知;0.3;39392;;0;0
南磨房路39号院;朝阳;未知;未知;33;37822;;0;0
武圣西里;朝阳;未知;未知;10;33069;;0;0
劲松三区;朝阳;未知;未知;30;36045;;0;0
松榆北路7号院;朝阳;未知;未知;30;36667;;0;0
广渠门外大街8号;朝阳;未知;未知;30;32787;;0;0
农光南路;朝阳;未知;未知;20;34970;;0;0
东三环南路58号院;朝阳;未知;未知;30;40035;;0;0
西城西四大红罗厂街;西城;二环以内;板楼;30;102948;;1;0
农光东里;朝阳;未知;未知;30;35819;;0;0
东三环南路54号院;朝阳;未知;未知;40;42678;;0;0
永安西里;朝阳;未知;未知;30;68500;;0;0
永安里中街;朝阳;未知;未知;30;47402;;0;0
月河;朝阳;未知;未知;;25319;;0;0
建国门外大街乙24号;朝阳;未知;未知;35;44014;;0;0
永安东里;朝阳;未知;未知;30;54422;;0;0
建华南路15号;朝阳;未知;未知;0.15;34407;;0;0
灵通观;朝阳;未知;未知;0.3;43731;;0;0
建国门外大街24号;朝阳;未知;未知;35;38954;;0;0
建华南路19号;朝阳;未知;未知;30;35869;;0;0
建国门外大街16号;朝阳;未知;未知;0.33;42662;;0;0
华严北里1号院;朝阳;未知;未知;30;52614;;0;0
华严北里8号院;朝阳;未知;未知;45;48463;;0;0
民族园路9号院;朝阳;未知;未知;0.2;52309;;0;0
北四环中路33号院;朝阳;未知;未知;40;42527;;0;0
安翔南里;朝阳;未知;未知;55;45639;;0;0
华严里;朝阳;未知;未知;60;48180;;0;0
华严北里3号院;朝阳;未知;未知;30;49195;;0;0
北四环中路69号院;朝阳;未知;未知;31;38489;;0;0
安翔里49号;朝阳;未知;未知;35;47764;;0;0
华严北里2号院;朝阳;未知;未知;15;47813;;0;0
丝竹园;朝阳;未知;未知;30;43718;;0;0
华严北里中科院;朝阳;未知;未知;40;49503;;0;0
安翔里;朝阳;未知;未知;40;43160;;0;0
安翔里;朝阳;未知;未知;38;39002;;0;0
北四环中路6号;朝阳;未知;未知;60;41364;;0;0
祁家豁子甲8号;朝阳;未知;未知;0.3;44640;;0;0
